Country,Year,Labour_Productivity,Carbon_Intensity,Electricity_Consumption,Renewable_Share,Carbon_Tax
Chile,2015,30.265446,491.39,68322.001,25.1,0
Chile,2016,30.035727,496.39,71324.9244,24.6,0
Chile,2017,31.151522,487.27,72839.0868,24.1,1
Chile,2018,31.849947,470.28,76396.3611,25.5,1
Chile,2019,31.90617,456.54,78529.8272,25.3,1
Chile,2020,36.512775,436.83,78319.205,26.7,1
Chile,2021,34.831936,430.99,81334.895,24.2,1
Colombia,2014,14.882218,236.73,62375.299,32.1,0
Colombia,2015,14.291327,275.36,68588.995,31.1,0
Colombia,2016,13.976612,259.55,67979.4311,30.5,0
Colombia,2017,14.206431,166.18,71599.0911,32.2,1
Colombia,2018,14.848378,187.44,69638.9115,30.4,1
Colombia,2019,15.812911,240.92,74113.6277,31.5,1
Colombia,2020,18.722904,271.25,71969.4492,32.0,1
Colombia,2021,16.696735,195.83,73534.6342,29.7,1
Costa Rica,2021,27.334011,25.92,10449.382,34.2,0
Denmark,2010,75.33401,540.39,33113.0,21.2,1
Denmark,2011,77.95425,486.47,32667.744,23.8,1
Denmark,2012,78.593475,431.14,32264.388,26.9,1
Denmark,2013,77.19141,472.41,32306.123,27.0,1
Denmark,2014,77.33569,400.75,31696.25,30.2,1
Denmark,2015,75.94151,313.76,32067.298000000003,32.5,1
Denmark,2016,77.22661,360.86,32265.482,32.0,1
Denmark,2017,80.47136,282.85,32542.4,35.0,1
Denmark,2018,81.621376,296.92,32228.3181,34.6,1
Denmark,2019,85.80067,204.29,32630.005,37.2,1
Denmark,2020,89.233696,188.94,32345.109,39.5,1
Denmark,2021,90.23293,222.97,34775.1809,39.5,1
Estonia,2010,34.99152,609.87,7430.999,25.3,1
Estonia,2011,37.206036,604.34,7156.0,25.2,1
Estonia,2012,39.64116,592.81,7407.999,25.0,1
Estonia,2013,39.647835,606.18,7332.001,24.5,1
Estonia,2014,40.512623,595.98,7417.001,25.3,1
Estonia,2015,38.552685,573.4,7439.998,28.2,1
Estonia,2016,39.751358,588.33,7675.7071,27.2,1
Estonia,2017,41.171707,582.83,7745.5645,27.5,1
Estonia,2018,44.438168,573.97,8299.9009,28.6,1
Estonia,2019,47.559307,509.86,8266.2579,31.3,1
Estonia,2020,50.410362,404.61,8585.7423,40.4,1
Estonia,2021,52.98748,450.63,8099.8227,38.0,1
Finland,2010,64.69934,314.86,84959.739,33.4,1
Finland,2011,66.40329,268.16,81572.298,35.1,1
Finland,2012,65.64078,215.17,82241.74799999999,38.7,1
Finland,2013,63.076878,257.65,81466.453,38.5,1
Finland,2014,63.709225,226.43,80658.752,41.2,1
Finland,2015,64.56952,182.04,80055.525,43.2,1
Finland,2016,65.81687,199.56,82556.19159999999,42.4,1
Finland,2017,67.742004,186.17,82700.17970000001,44.4,1
Finland,2018,66.70301,193.37,84444.9957,44.2,1
Finland,2019,69.871284,171.55,83032.4103,45.4,1
Finland,2020,71.64948,130.27,78553.4415,47.3,1
Finland,2021,72.21261,135.63,83897.4005,50.2,1
France,2010,68.51237,78.56,471574.848,11.9,0
France,2011,70.49767,74.62,447899.926,10.6,0
France,2012,71.08738,77.59,458872.126,12.3,0
France,2013,70.648125,76.29,463432.933,13.4,0
France,2014,71.26861,52.22,438832.517,13.2,1
France,2015,72.26746,59.17,448047.094,13.3,1
France,2016,72.82366,68.62,454717.136,14.2,1
France,2017,74.38966,78.31,452017.0251,14.1,1
France,2018,74.25583,59.92,448842.7259,15.2,1
France,2019,80.23372,59.79,444922.8309,15.5,1
France,2020,81.77437,59.08,422590.25,16.8,1
France,2021,78.91601,59.8,442285.0391,16.2,1
Germany,2010,70.99874,516.65,546866.001,11.6,0
Germany,2011,74.035706,529.67,539891.001,12.5,0
Germany,2012,73.76013,534.16,538206.0,13.6,0
Germany,2013,73.892365,538.04,536440.001,13.6,0
Germany,2014,75.67106,521.68,524827.001,14.0,0
Germany,2015,74.099724,503.59,528350.002,14.6,0
Germany,2016,76.02909,498.3,530551.0002,14.2,0
Germany,2017,78.19524,469.71,531318.0001,15.2,0
Germany,2018,78.59967,454.55,521808.9998,16.0,0
Germany,2019,81.118675,392.51,507542.9999,17.1,0
Germany,2020,82.04048,355.61,492822.0001,18.5,0
Germany,2021,82.90917,394.64,510102.0,17.6,0
Greece,2010,39.88448,707.3,55275.999,11.4,0
Greece,2011,36.30221,725.06,53945.311,11.4,0
Greece,2012,34.935993,704.06,53559.0,14.2,0
Greece,2013,34.78587,636.69,50497.999,16.6,0
Greece,2014,34.229015,667.88,51185.0,16.4,0
Greece,2015,35.89035,603.53,52445.001,17.5,0
Greece,2016,34.110714,571.51,55033.705,16.4,0
Greece,2017,34.763412,579.75,55614.428,16.4,0
Greece,2018,32.844246,545.14,51096.1499,17.9,0
Greece,2019,35.219307,496.98,51735.304,18.5,0
Greece,2020,35.598457,423.07,48847.365,20.1,0
Greece,2021,35.341057,383.11,51044.9581,21.5,0
Hungary,2010,38.153374,341.01,36006.85,13.5,0
Hungary,2011,39.523754,341.2,36392.443,14.7,0
Hungary,2012,38.969757,332.76,36633.908,16.5,0
Hungary,2013,38.185688,317.48,36244.62,17.2,0
Hungary,2014,37.01669,300.1,36899.999,15.7,0
Hungary,2015,36.505177,299.04,38141.031,15.6,0
Hungary,2016,35.142975,300.19,38693.0083,15.3,0
Hungary,2017,36.77375,290.71,40150.0,14.6,0
Hungary,2018,37.588276,284.56,40881.9999,13.6,0
Hungary,2019,40.447044,266.04,41428.9998,13.6,0
Hungary,2020,40.33771,257.45,41452.0,14.8,0
Hungary,2021,41.586166,238.5,43850.0,15.3,0
Iceland,2010,62.326572,27.48,16047.0,76.0,1
Iceland,2011,62.350258,27.3,16348.001,77.1,1
Iceland,2012,64.15448,27.76,16809.999,77.7,1
Iceland,2013,61.567177,27.79,17626.0,76.8,1
Iceland,2014,61.276012,28.09,17305.0,77.6,1
Iceland,2015,61.866894,27.49,17982.0,78.0,1
Iceland,2016,59.73019,27.52,17682.608,80.9,1
Iceland,2017,59.62731,27.27,18255.294,80.8,1
Iceland,2018,60.940754,28.44,18878.324,81.4,1
Iceland,2019,69.40397,28.41,18588.5091,81.7,1
Iceland,2020,68.74584,28.06,18238.4919,82.9,1
Iceland,2021,71.41531,27.85,18661.714,82.4,1
Italy,2010,58.415897,446.45,309883.241,12.8,0
Italy,2011,60.869076,445.59,313787.085,11.9,0
Italy,2012,60.95377,438.17,307217.382,14.4,0
Italy,2013,60.57737,398.96,297289.391,16.3,0
Italy,2014,60.517704,379.31,291083.935,17.1,0
Italy,2015,60.275845,398.68,297180.421,16.6,0
Italy,2016,62.454334,389.58,295508.62,16.1,0
Italy,2017,63.58544,392.82,301880.516,16.4,0
Italy,2018,62.97492,366.88,303442.97,17.1,0
Italy,2019,65.8622,351.32,301803.8529,17.3,0
Italy,2020,68.21557,334.2,283814.5427,18.7,0
Italy,2021,68.10817,339.1,300886.928,17.5,0
Japan,2010,51.380127,446.66,1055081.65,4.7,0
Japan,2011,51.01339,505.34,1018990.175,4.8,0
Japan,2012,50.722515,594.53,1022889.666,4.7,1
Japan,2013,50.891685,595.9,1003071.157,5.0,1
Japan,2014,49.72513,591.53,999695.517,5.6,1
Japan,2015,51.098133,578.05,984138.69,6.2,1
Japan,2016,50.0244,567.04,977314.48,6.4,1
Japan,2017,49.2588,558.03,975171.0292,6.9,1
Japan,2018,48.393433,541.47,981159.8012,7.3,1
Japan,2019,48.807823,528.49,945380.6645,7.8,1
Japan,2020,48.21869,527.75,908821.5775,8.5,1
Japan,2021,48.555424,514.49,928233.1609,8.8,1
Latvia,2010,30.8719,179.49,6217.001,33.1,1
Latvia,2011,32.149395,197.04,6193.001,35.5,1
Latvia,2012,33.910015,145.87,6851.0,40.4,1
Latvia,2013,32.79807,187.1,6580.068,39.6,1
Latvia,2014,34.407726,202.34,6584.101,40.2,1
Latvia,2015,35.79208,220.22,6463.238,38.1,1
Latvia,2016,36.694527,204.05,6483.9999,38.5,1
Latvia,2017,38.950283,140.77,6485.6756000000005,42.6,1
Latvia,2018,38.739853,215.77,6663.6633,41.0,1
Latvia,2019,40.054237,223.6,6637.6634,41.5,1
Latvia,2020,41.9574,176.57,6689.8993,43.8,1
Latvia,2021,43.45259,176.07,6931.2412,44.0,1
Lithuania,2010,32.781788,368.0,9327.0,21.5,0
Lithuania,2011,37.597885,322.35,9546.999,22.7,0
Lithuania,2012,39.29255,322.22,9727.316,23.9,0
Lithuania,2013,38.78282,293.56,9772.781,26.3,0
Lithuania,2014,39.583477,284.55,10011.985,27.7,0
Lithuania,2015,38.616436,295.51,10167.312,29.0,0
Lithuania,2016,38.02675,234.16,10629.449,31.5,0
Lithuania,2017,40.97545,182.58,10960.2,33.8,0
Lithuania,2018,41.829094,178.08,11286.0,33.7,0
Lithuania,2019,45.11943,170.66,11411.9999,33.5,0
Lithuania,2020,47.089924,231.92,11157.1998,31.7,0
Lithuania,2021,50.55754,220.93,11956.5999,33.2,0
Luxembourg,2010,75.18357,311.73,6592.777,3.7,0
Luxembourg,2011,66.83374,314.39,6492.609,3.8,0
Luxembourg,2012,71.18669,304.35,6219.798,4.2,0
Luxembourg,2013,68.91924,288.04,6183.632,5.7,0
Luxembourg,2014,76.93051,287.96,6182.157,6.8,0
Luxembourg,2015,84.744995,268.66,6228.507,9.1,0
Luxembourg,2016,86.03003,215.19,6365.7723000000005,13.5,0
Luxembourg,2017,90.22695,188.89,6392.9963,15.3,0
Luxembourg,2018,83.28531,187.5,6458.4939,16.0,0
Luxembourg,2019,89.14583,168.22,6396.6962,16.4,0
Luxembourg,2020,88.38975,163.93,6119.8613,20.8,0
Luxembourg,2021,91.46417,162.6,6392.7611,20.5,1
Mexico,2010,29.012064,541.93,219132.72,9.4,0
Mexico,2011,31.397432,539.79,233796.908,9.1,0
Mexico,2012,32.14362,550.26,241415.813,9.0,0
Mexico,2013,31.198391,546.82,244540.384,9.2,0
Mexico,2014,31.423548,525.6,248198.736,9.8,1
Mexico,2015,30.936192,533.9,256466.946,9.2,1
Mexico,2016,31.305912,537.6,263166.9097,9.2,1
Mexico,2017,31.016174,533.68,255209.0639,10.1,1
Mexico,2018,30.216253,523.92,273025.4935,10.3,1
Mexico,2019,28.918913,525.73,281653.2422,10.3,1
Mexico,2020,29.373611,484.05,283923.1858,12.3,1
Mexico,2021,28.645594,456.25,288508.8325,13.0,1
Netherlands,2010,75.864944,478.15,111967.008,3.9,0
Netherlands,2011,77.60005,472.3,113035.642,4.7,0
Netherlands,2012,80.06575,494.48,111093.137,4.9,0
Netherlands,2013,84.159065,500.6,110553.791,5.0,0
Netherlands,2014,80.099396,521.25,108507.696,5.6,0
Netherlands,2015,78.839066,551.43,109386.05,5.8,0
Netherlands,2016,77.276436,524.57,110469.535,5.6,0
Netherlands,2017,79.27648,489.66,111491.4618,6.4,0
Netherlands,2018,78.56831,467.11,113484.714,7.4,0
Netherlands,2019,80.06904,410.0,113655.9601,8.6,0
Netherlands,2020,82.76507,342.9,112435.362,10.7,0
Netherlands,2021,85.03012,351.97,113742.1969,12.2,1
New Zealand,2010,46.059715,179.42,40344.719,29.4,0
New Zealand,2011,47.96772,165.98,40061.772,30.3,0
New Zealand,2012,49.034885,198.17,39802.912,28.8,0
New Zealand,2013,48.368034,177.05,38975.704,28.3,0
New Zealand,2014,48.18502,148.42,39383.411,29.0,0
New Zealand,2015,47.73539,142.76,39993.786,29.3,0
New Zealand,2016,49.38363,114.48,39748.1945,30.1,0
New Zealand,2017,48.96968,131.93,40165.2036,28.4,0
New Zealand,2018,47.848465,123.71,40312.0485,28.9,0
New Zealand,2019,49.53717,133.71,40589.8158,28.0,0
New Zealand,2020,50.544838,142.1,40226.0085,28.7,0
New Zealand,2021,51.104523,144.89,40369.7907,28.9,0
Norway,2010,127.650276,42.88,120546.0,56.0,1
Norway,2011,138.58154,38.36,114847.998,56.0,1
Norway,2012,144.20383,32.15,118606.002,56.9,1
Norway,2013,140.1491,33.95,119617.999,56.6,1
Norway,2014,130.8378,33.93,117155.0,55.8,1
Norway,2015,109.79524,33.64,120177.999,56.5,1
Norway,2016,105.36408,33.1,122026.003,57.7,1
Norway,2017,109.77859,32.98,123380.003,58.9,1
Norway,2018,118.73758,33.1,127586.344,58.9,1
Norway,2019,119.48063,33.48,126066.154,59.8,1
Norway,2020,121.38384,30.39,126474.4721,60.9,1
Norway,2021,131.25018,26.92,132020.6082,61.4,1
Poland,2010,34.824844,893.03,129424.001,9.5,1
Poland,2011,38.053394,881.69,132388.175,10.4,1
Poland,2012,38.8872,860.79,133278.002,10.9,1
Poland,2013,38.311916,863.23,134481.001,11.4,1
Poland,2014,38.137146,844.08,136308.001,11.6,1
Poland,2015,39.3452,826.11,138926.999,11.9,1
Poland,2016,39.786877,818.55,143762.198,11.3,1
Poland,2017,41.354214,805.54,144375.8008,11.1,1
Poland,2018,43.29682,809.01,151195.5692,15.1,1
Poland,2019,45.805286,771.66,151799.7555,15.6,1
Poland,2020,44.511456,738.28,147994.5083,16.1,1
Poland,2021,44.86914,756.36,157060.1469,15.2,1
Portugal,2010,38.308334,317.13,50613.301,27.8,0
Portugal,2011,39.790176,375.05,49114.052,27.2,0
Portugal,2012,41.832973,441.24,47111.704,25.5,0
Portugal,2013,40.915134,340.42,46273.902,30.2,0
Portugal,2014,40.281155,325.68,46140.109,30.5,0
Portugal,2015,40.512615,413.96,46852.182,27.2,1
Portugal,2016,40.772865,343.61,47355.711,29.0,1
Portugal,2017,40.64904,433.76,47660.3002,24.4,1
Portugal,2018,39.569237,358.7,48897.03,27.5,1
Portugal,2019,41.922718,300.97,48809.9999,28.2,1
Portugal,2020,41.910946,248.3,47245.9988,31.3,1
Portugal,2021,41.55837,210.48,48138.8263,32.3,1
Slovenia,2010,41.41744,353.63,12062.8,20.1,1
Slovenia,2011,44.91155,358.67,12611.964,19.1,1
Slovenia,2012,45.260403,359.49,12539.63,20.2,1
Slovenia,2013,44.254635,336.71,12587.856,22.5,1
Slovenia,2014,44.316372,244.32,12559.053,22.9,1
Slovenia,2015,42.856907,316.89,12894.166,21.4,1
Slovenia,2016,44.15917,325.94,13121.51,21.0,1
Slovenia,2017,45.32373,318.38,13622.63,19.7,1
Slovenia,2018,47.096825,304.59,13807.675,20.6,1
Slovenia,2019,49.558193,298.93,13775.681,20.9,1
Slovenia,2020,50.78655,277.09,13046.9052,22.7,1
Slovenia,2021,51.100243,269.4,13550.0489,23.4,1
Spain,2010,54.77375,288.25,250760.001,14.4,0
Spain,2011,55.09166,337.28,247945.001,14.7,0
Spain,2012,57.414482,351.11,244677.002,15.8,0
Spain,2013,57.504654,286.86,236045.999,16.9,0
Spain,2014,57.19161,288.99,233379.001,17.3,0
Spain,2015,58.978977,328.5,238589.0,16.3,0
Spain,2016,59.979256,282.93,240471.996,16.7,0
Spain,2017,61.159767,329.17,246657.0,15.2,0
Spain,2018,59.54519,290.86,246133.9999,16.9,0
Spain,2019,62.680885,246.67,242843.3261,16.7,0
Spain,2020,61.291573,199.1,227619.584,19.3,0
Spain,2021,61.418144,193.54,235109.439,19.0,0
Sweden,2010,71.1375,63.73,136633.618,44.7,1
Sweden,2011,75.29663,52.3,128961.02,45.4,1
Sweden,2012,75.55018,44.7,132116.026,48.3,1
Sweden,2013,74.577156,44.7,129341.044,47.3,1
Sweden,2014,73.45989,40.18,126845.0,48.6,1
Sweden,2015,74.54128,40.86,129275.0,51.9,1
Sweden,2016,73.800705,42.98,132056.5626,50.9,1
Sweden,2017,75.30726,42.5,132003.0,51.8,1
Sweden,2018,74.248825,42.73,131859.0,51.6,1
Sweden,2019,80.12736,42.34,128862.0001,52.9,1
Sweden,2020,81.9224,38.71,127539.0,57.8,1
Sweden,2021,83.16069,41.74,132360.0001,57.9,1
Switzerland,2010,76.004814,35.88,59785.0,20.6,1
Switzerland,2011,84.594376,36.26,58599.001,20.6,1
Switzerland,2012,86.639626,36.25,58972.002,21.9,1
Switzerland,2013,86.26918,35.52,59322.998,21.8,1
Switzerland,2014,87.11647,34.39,57465.999,22.2,1
Switzerland,2015,85.66496,35.57,58246.998,23.9,1
Switzerland,2016,86.37685,39.44,58238.891,24.1,1
Switzerland,2017,88.95202,39.73,58486.1099,25.0,1
Switzerland,2018,89.29048,36.05,57647.222,24.2,1
Switzerland,2019,93.04306,35.28,57197.203,24.8,1
Switzerland,2020,95.010254,36.64,55713.8862,26.4,1
Switzerland,2021,99.48323,38.52,58113.8889,27.7,1
United Kingdom,2010,62.195778,517.2,337510.972,3.2,0
United Kingdom,2011,62.844765,499.63,325919.902,4.0,0
United Kingdom,2012,63.155174,537.23,325481.251,4.2,0
United Kingdom,2013,63.77222,506.92,324385.418,5.2,1
United Kingdom,2014,62.419716,462.88,310805.801,6.6,1
United Kingdom,2015,63.72775,397.79,316235.03,7.7,1
United Kingdom,2016,63.4797,333.45,309310.6472,7.7,1
United Kingdom,2017,65.88062,302.2,304914.9889,8.8,1
United Kingdom,2018,64.60273,285.65,308868.106,10.2,1
United Kingdom,2019,66.17737,268.41,304217.8761,11.4,1
United Kingdom,2020,70.25431,242.54,294303.235,13.6,1
United Kingdom,2021,68.41783,267.1,298861.3419,12.2,1
United States,2010,72.9431,570.81,3894367.001,7.4,0
United States,2011,72.994804,550.48,3885019.0,8.4,0
United States,2012,73.444336,532.77,3830933.002,8.5,0
United States,2013,74.135895,533.43,3871734.999,8.9,0
United States,2014,74.58594,529.41,3895216.002,9.0,0
United States,2015,74.986916,504.9,3895365.002,8.9,0
United States,2016,75.29495,483.35,3922010.62,9.3,0
United States,2017,76.11291,469.02,3886956.079,9.7,0
United States,2018,76.83071,462.61,4042840.013,9.9,0
United States,2019,77.74209,439.45,3964472.6861,10.2,0
United States,2020,81.08247,411.73,3903674.4171,11.0,0
United States,2021,82.3028,423.78,3956919.174,10.9,0
